dt,open,high,low,close,volume
2023-09-01 00:00:00+00:00,25927.0,26046.0,25927.0,26035.0,40.15374016
2023-09-01 01:00:00+00:00,26044.0,26044.0,25975.0,25978.0,26.0815856
2023-09-01 02:00:00+00:00,25978.0,26077.0,25978.0,26049.0,28.310573989999998
2023-09-01 03:00:00+00:00,26049.0,26081.0,26027.0,26071.0,16.27720726
2023-09-01 04:00:00+00:00,26072.0,26083.0,26025.0,26033.0,4.68558225
2023-09-01 05:00:00+00:00,26033.0,26049.0,26012.0,26019.0,25.22065447
2023-09-01 06:00:00+00:00,26019.0,26032.0,25964.0,25988.0,44.32361204
2023-09-01 07:00:00+00:00,25984.0,26010.0,25974.0,25982.0,18.59123151
2023-09-01 08:00:00+00:00,25982.0,26004.0,25953.0,25972.0,34.075956500000004
2023-09-01 09:00:00+00:00,25972.0,26030.0,25963.0,26020.0,33.40186166
2023-09-01 10:00:00+00:00,26022.0,26030.0,25980.0,25992.0,20.91053985
2023-09-01 11:00:00+00:00,25990.0,26052.0,25974.0,26039.0,28.86053704
2023-09-01 12:00:00+00:00,26036.0,26134.0,25989.0,26049.0,125.80614694
2023-09-01 13:00:00+00:00,26049.0,26052.0,25873.0,25989.0,146.49281907
2023-09-01 14:00:00+00:00,25984.0,25990.0,25704.0,25711.0,135.34420982
2023-09-01 15:00:00+00:00,25710.0,25914.0,25585.0,25799.0,251.33931421
2023-09-01 16:00:00+00:00,25798.0,25939.0,25754.0,25768.0,219.75711184
2023-09-01 17:00:00+00:00,25770.0,25779.0,25333.0,25467.0,307.68281547
2023-09-01 18:00:00+00:00,25463.0,25793.0,25439.0,25637.0,192.38149881
2023-09-01 19:00:00+00:00,25639.0,25659.0,25574.0,25622.0,69.51298596
2023-09-01 20:00:00+00:00,25628.0,25890.0,25561.0,25758.0,144.0305559
2023-09-01 21:00:00+00:00,25758.0,25844.0,25727.0,25794.0,27.07572042
2023-09-01 22:00:00+00:00,25792.0,25814.0,25759.0,25759.0,23.99870138
2023-09-01 23:00:00+00:00,25759.0,25828.0,25753.0,25798.0,6.37405645
2023-09-02 00:00:00+00:00,25801.0,25832.0,25781.0,25783.0,7.19014909
2023-09-02 01:00:00+00:00,25783.0,25808.0,25767.0,25770.0,5.93934495
2023-09-02 02:00:00+00:00,25767.0,25789.0,25753.0,25753.0,41.67745644
2023-09-02 03:00:00+00:00,25753.0,25795.0,25753.0,25786.0,9.01311363
2023-09-02 04:00:00+00:00,25787.0,25797.0,25756.0,25769.0,5.936168149999999
2023-09-02 05:00:00+00:00,25770.0,25828.0,25770.0,25810.0,27.59211032
2023-09-02 06:00:00+00:00,25810.0,25821.0,25785.0,25794.0,14.97867479
2023-09-02 07:00:00+00:00,25794.0,25822.0,25775.0,25789.0,31.32081657
2023-09-02 08:00:00+00:00,25789.0,25796.0,25769.0,25779.0,7.80551303
2023-09-02 09:00:00+00:00,25779.0,25815.0,25772.0,25802.0,11.42559537
2023-09-02 10:00:00+00:00,25805.0,25847.0,25804.0,25829.0,15.69769125
2023-09-02 11:00:00+00:00,25831.0,25854.0,25792.0,25810.0,27.0031791
2023-09-02 12:00:00+00:00,25809.0,25833.0,25801.0,25809.0,21.82265057
2023-09-02 13:00:00+00:00,25806.0,25844.0,25787.0,25826.0,16.52024098
2023-09-02 14:00:00+00:00,25826.0,25887.0,25809.0,25864.0,35.24530207
2023-09-02 15:00:00+00:00,25864.0,25980.0,25864.0,25906.0,108.93430649
2023-09-02 16:00:00+00:00,25900.0,25937.0,25852.0,25859.0,25.22716409
2023-09-02 17:00:00+00:00,25861.0,25874.0,25813.0,25813.0,32.45112207
2023-09-02 18:00:00+00:00,25814.0,25822.0,25764.0,25812.0,28.44421192
2023-09-02 19:00:00+00:00,25812.0,25840.0,25801.0,25836.0,28.16942595
2023-09-02 20:00:00+00:00,25825.0,25844.0,25821.0,25844.0,6.36196182
2023-09-02 21:00:00+00:00,25844.0,25881.0,25839.0,25860.0,18.85577795
2023-09-02 22:00:00+00:00,25859.0,25865.0,25845.0,25863.0,12.45684511
2023-09-02 23:00:00+00:00,25863.0,25899.0,25856.0,25870.0,17.857821649999998
2023-09-03 00:00:00+00:00,25870.0,25873.0,25836.0,25865.0,26.59043656
2023-09-03 01:00:00+00:00,25865.0,25896.0,25856.0,25864.0,23.58705311
2023-09-03 02:00:00+00:00,25857.0,25879.0,25856.0,25861.0,3.41573496
2023-09-03 03:00:00+00:00,25861.0,25872.0,25853.0,25864.0,6.71055975
2023-09-03 04:00:00+00:00,25864.0,25882.0,25864.0,25878.0,3.21097571
2023-09-03 05:00:00+00:00,25876.0,25903.0,25875.0,25896.0,21.69404334
2023-09-03 06:00:00+00:00,25897.0,25936.0,25894.0,25906.0,24.35916111
2023-09-03 07:00:00+00:00,25908.0,25946.0,25905.0,25946.0,26.19052784
2023-09-03 08:00:00+00:00,25946.0,25946.0,25884.0,25885.0,23.04551959
2023-09-03 09:00:00+00:00,25885.0,25932.0,25878.0,25908.0,24.33154111
2023-09-03 10:00:00+00:00,25908.0,25930.0,25896.0,25930.0,15.32356239
2023-09-03 11:00:00+00:00,25930.0,25939.0,25910.0,25938.0,12.80411474
2023-09-03 12:00:00+00:00,25938.0,26071.0,25894.0,25901.0,143.38914404
2023-09-03 13:00:00+00:00,25898.0,25940.0,25828.0,25894.0,69.05074222
2023-09-03 14:00:00+00:00,25893.0,25935.0,25887.0,25926.0,12.40924558
2023-09-03 15:00:00+00:00,25922.0,25927.0,25855.0,25872.0,16.7309823
2023-09-03 16:00:00+00:00,25870.0,25893.0,25807.0,25848.0,26.6807702
2023-09-03 17:00:00+00:00,25834.0,25887.0,25829.0,25887.0,28.411889809999998
2023-09-03 18:00:00+00:00,25887.0,26012.0,25881.0,25930.0,89.16972083
2023-09-03 19:00:00+00:00,25935.0,26002.0,25931.0,26002.0,12.317013999999999
2023-09-03 20:00:00+00:00,26002.0,26112.0,25962.0,26044.0,72.83974706000001
2023-09-03 21:00:00+00:00,26052.0,26057.0,25956.0,25967.0,22.433411839999998
2023-09-03 22:00:00+00:00,25965.0,25984.0,25940.0,25951.0,9.55058328
2023-09-03 23:00:00+00:00,25958.0,25977.0,25934.0,25970.0,5.29163505
2023-09-04 00:00:00+00:00,25972.0,25974.0,25899.0,25906.0,29.897448769999997
2023-09-04 01:00:00+00:00,25902.0,25921.0,25878.0,25902.0,14.20988425
2023-09-04 02:00:00+00:00,25903.0,26002.0,25895.0,25981.0,38.582505080000004
2023-09-04 03:00:00+00:00,25981.0,26081.0,25973.0,25988.0,79.23187579
2023-09-04 04:00:00+00:00,25990.0,26005.0,25972.0,25981.0,19.83328769
2023-09-04 05:00:00+00:00,25980.0,25985.0,25937.0,25937.0,45.6915411
2023-09-04 06:00:00+00:00,25936.0,25977.0,25916.0,25960.0,18.58864759
2023-09-04 07:00:00+00:00,25958.0,25993.0,25952.0,25952.0,31.33656123
2023-09-04 08:00:00+00:00,25954.0,25996.0,25951.0,25972.0,15.30165599
2023-09-04 09:00:00+00:00,25972.0,25977.0,25911.0,25944.0,37.268621089999996
2023-09-04 10:00:00+00:00,25944.0,25954.0,25884.0,25903.0,69.36366574
2023-09-04 11:00:00+00:00,25904.0,25935.0,25869.0,25882.0,72.54074934
2023-09-04 12:00:00+00:00,25880.0,25891.0,25822.0,25851.0,33.25572648
2023-09-04 13:00:00+00:00,25846.0,25896.0,25835.0,25877.0,29.65779777
2023-09-04 14:00:00+00:00,25878.0,25899.0,25831.0,25845.0,32.997494689999996
2023-09-04 15:00:00+00:00,25837.0,25946.0,25729.0,25808.0,218.57581232
2023-09-04 16:00:00+00:00,25808.0,25858.0,25801.0,25850.0,37.59207814
2023-09-04 17:00:00+00:00,25853.0,25919.0,25839.0,25892.0,28.02736149
2023-09-04 18:00:00+00:00,25902.0,25935.0,25875.0,25907.0,10.18039703
2023-09-04 19:00:00+00:00,25906.0,25909.0,25848.0,25886.0,14.312681269999999
2023-09-04 20:00:00+00:00,25885.0,25904.0,25800.0,25828.0,31.14255417
2023-09-04 21:00:00+00:00,25830.0,25832.0,25646.0,25673.0,108.61140763
2023-09-04 22:00:00+00:00,25661.0,25785.0,25646.0,25769.0,41.946276759999996
2023-09-04 23:00:00+00:00,25765.0,25840.0,25756.0,25819.0,25.558217869999996
2023-09-05 00:00:00+00:00,25827.0,25831.0,25725.0,25760.0,23.50339306
2023-09-05 01:00:00+00:00,25753.0,25793.0,25733.0,25740.0,16.71886764
2023-09-05 02:00:00+00:00,25742.0,25743.0,25655.0,25656.0,128.16586172
2023-09-05 03:00:00+00:00,25656.0,25673.0,25547.0,25670.0,30.666588179999998
2023-09-05 04:00:00+00:00,25673.0,25704.0,25662.0,25682.0,38.613091849999996
2023-09-05 05:00:00+00:00,25682.0,25734.0,25676.0,25722.0,20.83434541
2023-09-05 06:00:00+00:00,25723.0,25729.0,25668.0,25673.0,26.99502486
2023-09-05 07:00:00+00:00,25676.0,25720.0,25670.0,25719.0,43.284711709999996
2023-09-05 08:00:00+00:00,25720.0,25775.0,25642.0,25696.0,56.24046407
2023-09-05 09:00:00+00:00,25698.0,25772.0,25683.0,25741.0,46.17122679
2023-09-05 10:00:00+00:00,25746.0,25788.0,25735.0,25738.0,15.43961248
2023-09-05 11:00:00+00:00,25741.0,25773.0,25729.0,25762.0,7.3653539100000005
2023-09-05 12:00:00+00:00,25761.0,25813.0,25684.0,25807.0,87.09966499
2023-09-05 13:00:00+00:00,25807.0,25811.0,25723.0,25724.0,42.87680416
2023-09-05 14:00:00+00:00,25723.0,25751.0,25621.0,25694.0,88.53956588
2023-09-05 15:00:00+00:00,25694.0,25862.0,25661.0,25738.0,159.30539606
2023-09-05 16:00:00+00:00,25739.0,25819.0,25719.0,25742.0,24.19056568
2023-09-05 17:00:00+00:00,25734.0,25763.0,25692.0,25730.0,33.80665986
2023-09-05 18:00:00+00:00,25737.0,25751.0,25696.0,25731.0,16.266444279999998
2023-09-05 19:00:00+00:00,25731.0,25758.0,25672.0,25672.0,12.4921397
2023-09-05 20:00:00+00:00,25675.0,25733.0,25667.0,25703.0,43.577477449999996
2023-09-05 21:00:00+00:00,25706.0,25754.0,25702.0,25723.0,13.67636227
2023-09-05 22:00:00+00:00,25725.0,25760.0,25713.0,25758.0,13.02282486
2023-09-05 23:00:00+00:00,25757.0,25793.0,25757.0,25783.0,17.827437149999998
2023-09-06 00:00:00+00:00,25783.0,25820.0,25769.0,25793.0,69.42700299
