step_atr_mult,hours,lot_mult,max_levels,basket_sl_usd,tp_pips,risk_scale,max_basket_hours,vol_filter,net,usd_per_hour,max_dd_usd,max_dd_pct,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,time_hits,worst_basket,max_lots
0.5,12-21,1.0,4,150,6,True,168,True,-1000.0,-0.0223,1030.07,100.0,2014-02-13 13:00:00,5,1657,0,1625,27,-121.34,0.08
2.0,all,1.2,6,150,6,True,24,True,-1000.0,-0.0223,1002.62,100.0,2013-10-17 06:00:00,1,2433,0,2252,180,-68.45,0.07
1.5,all,1.0,3,60,6,True,24,False,-1000.0,-0.0223,1010.79,100.0,2013-10-01 06:00:00,4,2837,1,2623,209,-62.53,0.06
1.0,7-20,1.2,6,60,6,False,72,True,-1000.0,-0.0223,1028.31,100.0,2013-06-06 18:00:00,0,1092,17,1055,20,-93.64,0.1
1.0,all,1.2,6,150,10,True,72,False,-1000.0,-0.0223,1076.33,100.0,2013-07-11 00:00:00,2,1425,4,1372,47,-183.14,0.11
0.5,12-21,1.0,4,100,6,False,24,True,-1000.0,-0.0223,1002.59,100.0,2013-08-07 12:00:00,1,1292,1,1200,90,-102.46,0.08
1.0,all,1.0,3,100,6,True,168,True,-1000.0,-0.0223,1006.02,100.0,2013-09-11 10:00:00,1,1406,6,1377,22,-119.86,0.06
2.0,7-20,1.2,6,60,10,False,72,False,-1000.0,-0.0223,1051.2,100.0,2014-02-17 11:00:00,2,2191,25,2085,79,-97.92,0.08
1.0,7-20,1.2,4,150,10,True,72,True,-1000.0,-0.0223,1008.11,100.0,2014-10-07 07:00:00,3,3006,0,2872,131,-102.23,0.08
0.5,7-20,1.0,6,150,10,True,72,True,-1000.0,-0.0223,1012.5,100.0,2013-07-31 16:00:00,3,1234,4,1191,36,-164.09,0.12
0.5,7-20,1.0,4,250,10,False,72,True,-1000.0,-0.0223,1002.44,100.0,2014-09-10 08:00:00,3,2974,0,2841,130,-112.54,0.08
1.0,12-21,1.0,6,100,10,False,168,False,-1000.0,-0.0223,1007.37,100.0,2013-09-18 22:00:00,1,1175,18,1148,8,-171.38,0.12
