step_atr_mult,hours,lot_mult,max_levels,basket_sl_usd,tp_pips,risk_scale,max_basket_hours,vol_filter,net,usd_per_hour,max_dd_usd,max_dd_pct,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,time_hits,worst_basket,max_lots
0.5,12-21,1.0,4,150,6,True,168,True,-1000.0,-0.0223,1065.65,100.0,2015-01-23 14:00:00,1,2802,0,2747,54,-133.93,0.08
2.0,all,1.2,6,150,6,True,24,True,-1000.0,-0.0223,1000.12,100.0,2014-10-08 08:00:00,8,4605,0,4171,426,-64.66,0.07
1.5,all,1.0,3,60,6,True,24,False,-1000.0,-0.0223,1011.32,100.0,2014-09-04 17:00:00,0,5062,2,4610,450,-63.68,0.06
1.0,7-20,1.2,6,60,6,False,72,True,-1000.0,-0.0223,1005.54,100.0,2014-08-07 14:00:00,4,3372,30,3263,75,-82.21,0.11
1.0,all,1.2,6,150,10,True,72,False,-1000.0,-0.0223,1092.55,100.0,2015-03-20 03:00:00,2,4383,7,4198,176,-222.04,0.11
0.5,12-21,1.0,4,100,6,False,24,True,-1000.0,-0.0223,1008.91,100.0,2014-02-13 12:00:00,1,2265,1,2097,166,-145.59,0.08
1.0,all,1.0,3,100,6,True,168,True,-1000.0,-0.0223,1046.82,100.0,2015-03-18 22:00:00,0,3776,6,3703,67,-134.31,0.06
2.0,7-20,1.2,6,60,10,False,72,False,-1000.0,-0.0223,1045.99,100.0,2015-05-19 10:00:00,1,4002,42,3789,170,-99.63,0.08
1.0,7-20,1.2,4,150,10,True,72,True,-1000.0,-0.0223,1085.51,100.0,2015-05-20 09:00:00,1,3912,3,3728,180,-189.45,0.08
0.5,7-20,1.0,6,150,10,True,72,True,-1000.0,-0.0223,1152.58,100.0,2015-04-07 11:00:00,2,3861,7,3700,152,-230.62,0.12
0.5,7-20,1.0,4,250,10,False,72,True,-1000.0,-0.0223,1060.09,100.0,2015-05-25 00:00:00,1,3974,0,3787,186,-147.47,0.08
1.0,12-21,1.0,6,100,10,False,168,False,-1000.0,-0.0223,1023.86,100.0,2015-01-15 17:00:00,1,2586,30,2527,28,-146.21,0.12
0.5,7-20,1.0,6,100,6,False,24,False,-1000.0,-0.0223,1019.06,100.0,2013-07-11 14:00:00,2,1928,3,1811,112,-121.0,0.1
1.0,12-21,1.0,3,150,10,False,24,False,-1000.0,-0.0223,1019.3,100.0,2015-05-12 16:00:00,3,4177,0,3662,512,-109.57,0.06
1.0,7-20,1.2,6,100,6,True,72,True,-1000.0,-0.0223,1056.15,100.0,2014-10-07 13:00:00,3,3586,8,3476,99,-125.62,0.11
1.5,12-21,1.2,3,150,6,False,24,True,-1000.0,-0.0223,1000.68,100.0,2015-01-23 13:00:00,1,3681,0,3325,355,-57.14,0.06
1.0,all,1.2,4,150,6,True,24,False,-1000.0,-0.0223,1018.29,100.0,2013-11-06 07:00:00,6,3170,0,2938,226,-74.85,0.08
2.0,12-21,1.0,6,250,6,True,168,True,-1000.0,-0.0223,1048.5,100.0,2015-01-23 14:00:00,2,2602,0,2562,38,-172.02,0.1
0.5,all,1.2,3,150,10,True,24,True,-1000.0,-0.0223,1002.41,100.0,2015-03-13 08:00:00,1,5076,0,4493,582,-109.57,0.06
2.0,7-20,1.0,6,100,6,False,24,True,-1000.0,-0.0223,1000.12,100.0,2014-05-13 13:00:00,3,3240,1,2947,289,-141.16,0.06
1.5,all,1.2,3,60,10,True,24,True,-1000.0,-0.0223,1012.9,100.0,2015-07-31 15:00:00,1,5886,4,5224,657,-80.48,0.06
1.5,7-20,1.2,3,250,6,False,24,False,-1000.0,-0.0223,1016.3,100.0,2014-03-06 15:00:00,2,3307,0,3036,269,-92.14,0.06
0.5,7-20,1.2,4,150,10,False,72,False,-1000.0,-0.0223,1003.95,100.0,2015-03-23 15:00:00,1,3967,4,3777,185,-167.02,0.08
1.0,12-21,1.0,6,100,6,False,168,False,-1000.0,-0.0223,1011.77,100.0,2013-10-22 14:00:00,0,1460,15,1435,10,-116.55,0.12
0.5,7-20,1.0,3,150,10,True,72,True,-1000.0,-0.0223,1067.91,100.0,2015-06-01 10:00:00,2,3748,0,3531,215,-120.62,0.06
1.5,7-20,1.2,6,60,6,True,168,False,-1000.0,-0.0223,1016.33,100.0,2014-12-17 21:00:00,1,3679,49,3621,8,-108.79,0.11
1.0,7-20,1.0,4,60,6,False,24,True,-1000.0,-0.0223,1005.54,100.0,2013-10-17 09:00:00,1,2199,6,2043,149,-73.81,0.08
2.0,12-21,1.2,4,250,6,False,72,False,-1000.0,-0.0223,1001.2,100.0,2015-01-05 00:00:00,2,3281,0,3143,136,-88.86,0.07
1.5,12-21,1.2,6,150,10,False,24,True,-1000.0,-0.0223,1000.95,100.0,2015-06-04 11:00:00,1,3697,1,3223,472,-160.25,0.08
1.5,12-21,1.2,4,250,6,False,72,False,-1000.0,-0.0223,1001.2,100.0,2015-01-12 16:00:00,2,3476,0,3341,133,-102.12,0.08
1.0,12-21,1.0,3,250,6,True,168,False,-1000.0,-0.0223,1003.39,100.0,2015-01-05 00:00:00,1,2828,0,2765,62,-111.19,0.06
1.5,12-21,1.0,4,100,6,False,24,True,-1000.0,-0.0223,1000.68,100.0,2015-02-26 16:00:00,2,3885,1,3523,359,-101.02,0.07
0.5,12-21,1.2,4,100,10,False,72,True,-1000.0,-0.0223,1054.28,100.0,2015-04-29 15:00:00,1,3114,9,2956,148,-167.02,0.08
2.0,7-20,1.0,3,60,6,True,168,True,-1000.0,-0.0223,1046.95,100.0,2015-03-20 08:00:00,2,3390,33,3322,33,-119.78,0.06
0.5,all,1.2,6,250,10,False,168,True,-1000.0,-0.0223,1208.9,100.0,2015-06-05 15:00:00,2,3747,4,3673,68,-265.17,0.12
0.5,all,1.2,3,250,10,False,72,True,-1000.0,-0.0223,1166.48,100.0,2016-02-03 20:00:00,1,5422,0,5135,286,-120.62,0.06
2.0,all,1.0,6,100,10,False,168,True,-1000.0,-0.0223,1193.23,100.0,2015-11-06 15:00:00,0,4072,36,3998,38,-177.64,0.09
1.0,all,1.0,4,100,10,True,24,False,-1000.0,-0.0223,1018.94,100.0,2015-03-18 22:00:00,0,5613,2,4991,620,-174.42,0.08
2.0,7-20,1.2,6,250,10,True,72,False,-891.9,-0.0199,1103.65,97.9,,0,8062,0,7659,403,-159.58,0.09
1.0,7-20,1.0,3,150,10,True,24,False,-1000.0,-0.0223,1028.74,100.0,2015-03-18 22:00:00,1,4876,0,4306,569,-134.31,0.06
0.5,7-20,1.0,3,250,6,False,168,True,-1000.0,-0.0223,1034.99,100.0,2015-01-23 10:00:00,2,3040,0,2967,71,-103.93,0.06
1.0,all,1.0,4,250,6,True,168,True,-1000.0,-0.0223,1075.62,100.0,2015-03-11 11:00:00,2,4020,0,3958,60,-172.56,0.08
0.5,7-20,1.0,6,150,6,True,168,True,-1000.0,-0.0223,1083.48,100.0,2014-01-07 11:00:00,6,1990,6,1957,21,-230.62,0.12
1.0,12-21,1.0,6,100,10,False,168,True,-1000.0,-0.0223,1168.32,100.0,2015-03-18 22:00:00,0,2583,30,2527,26,-158.78,0.12
1.0,all,1.2,6,150,10,True,72,True,-1000.0,-0.0223,1276.1,100.0,2015-04-30 10:00:00,1,4223,8,4051,163,-222.04,0.11
1.5,all,1.0,6,150,10,True,24,False,-1000.0,-0.0223,1033.0,100.0,2015-04-24 09:00:00,1,5682,2,5014,665,-160.25,0.08
2.0,all,1.0,3,60,10,True,168,True,-722.44,-0.0161,1034.83,84.8,,0,6598,76,6417,105,-94.66,0.06
2.0,12-21,1.2,6,60,10,False,168,True,-1000.0,-0.0223,1085.21,100.0,2015-04-20 12:00:00,3,2506,50,2436,17,-115.61,0.09
1.0,12-21,1.0,4,60,10,False,24,False,-1000.0,-0.0223,1019.3,100.0,2015-03-20 15:00:00,1,3906,13,3428,464,-77.62,0.08
0.5,12-21,1.0,4,250,10,False,24,False,-1000.0,-0.0223,1021.47,100.0,2015-03-18 20:00:00,1,3959,0,3498,460,-132.75,0.08
1.0,12-21,1.0,4,150,6,True,72,False,-1000.0,-0.0223,1001.2,100.0,2014-09-04 16:00:00,1,3003,1,2893,108,-163.66,0.08
1.0,12-21,1.0,3,100,6,True,24,False,-1000.0,-0.0223,1009.52,100.0,2014-05-07 14:00:00,9,2924,0,2648,267,-55.0,0.06
0.5,12-21,1.2,6,250,10,False,24,False,-1000.0,-0.0223,1021.47,100.0,2015-03-10 10:00:00,1,3925,0,3487,437,-168.59,0.11
2.0,all,1.2,3,60,10,True,24,False,-1000.0,-0.0223,1019.3,100.0,2016-03-10 17:00:00,1,7916,5,6990,920,-119.78,0.05
1.0,all,1.2,4,250,6,False,72,True,-1000.0,-0.0223,1022.85,100.0,2015-01-05 00:00:00,0,4455,0,4317,138,-106.92,0.08
2.0,all,1.2,6,250,10,False,24,True,-846.45,-0.0189,927.07,90.8,,0,10955,0,9666,1289,-135.07,0.07
2.0,all,1.2,4,100,6,True,24,True,-1000.0,-0.0223,1000.12,100.0,2014-10-10 14:00:00,2,4617,0,4187,428,-64.6,0.06
2.0,all,1.0,4,100,6,False,168,False,-1000.0,-0.0223,1017.73,100.0,2015-01-08 12:00:00,1,3644,11,3587,45,-141.89,0.08
0.5,7-20,1.0,3,60,6,True,72,False,-1000.0,-0.0223,1000.0,100.0,2014-04-09 20:00:00,7,2954,16,2844,87,-69.62,0.06
1.5,12-21,1.2,3,250,10,True,168,False,-824.65,-0.0184,922.05,91.9,,0,5434,0,5278,156,-126.87,0.06
2.0,all,1.0,3,60,10,False,168,True,-722.44,-0.0161,1034.83,84.8,,0,6598,76,6417,105,-94.66,0.06
0.5,12-21,1.0,6,150,6,True,72,True,-1000.0,-0.0223,1046.12,100.0,2014-12-10 14:00:00,4,3297,1,3194,98,-168.89,0.12
1.5,7-20,1.2,3,150,6,True,24,True,-1000.0,-0.0223,1000.68,100.0,2014-03-20 11:00:00,2,3028,0,2784,242,-92.14,0.06
