sym,entry,tf,atr_stop,trail,friday,rule,max_days,risk,mode,sample,max_starts,n,pass_pct,pass_inconsistent_pct,fail_daily_pct,fail_max_pct,timeout_pct,days_to_pass_median,trades_mean,max_dd_mean,worst_day_mean,end_balance_mean,burn_pct,secs,stage
BTCUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,2.0,ladder_balance,IS,400,390,1.8,0.0,0.0,0.0,98.2,4.8,5.7,2.9,-1.03,100002.0,0.0,1.2,2
BTCUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,2.0,ladder_balance,IS,400,390,5.1,0.0,0.0,0.0,94.9,8.1,11.2,4.46,-1.34,100025.0,0.0,2.3,2
BTCUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,2.8,fixed,IS,400,390,22.1,0.0,19.7,35.6,22.6,3.8,3.9,8.59,-2.74,100357.0,55.3,0.8,2
BTCUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,2.8,fixed,IS,400,390,29.7,0.0,21.5,42.8,5.9,4.8,4.7,9.21,-2.76,100758.0,64.3,1.1,2
BTCUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,2.8,balance,IS,400,390,17.7,0.0,29.0,38.2,15.1,3.0,3.7,8.27,-2.76,100076.0,67.2,0.8,2
BTCUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,2.8,balance,IS,400,390,20.5,0.0,32.6,44.9,2.1,3.7,4.1,8.62,-2.77,100143.0,77.5,0.9,2
BTCUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,2.8,ladder,IS,400,390,1.8,0.0,0.0,0.0,98.2,4.8,5.7,2.89,-1.03,99997.0,0.0,1.3,2
BTCUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,2.8,ladder,IS,400,390,4.9,0.0,0.0,0.0,95.1,8.3,11.2,4.46,-1.34,99987.0,0.0,2.3,2
BTCUSD,don20,1h,1.0,1.0,False,fundingpips_1step,7,2.8,ladder_balance,IS,400,390,1.8,0.0,0.0,0.0,98.2,4.8,5.7,2.91,-1.04,99998.0,0.0,1.2,2
BTCUSD,don20,1h,1.0,1.0,False,fundingpips_1step,14,2.8,ladder_balance,IS,400,390,5.1,0.0,0.0,0.0,94.9,8.1,11.2,4.48,-1.36,100002.0,0.0,2.4,2
