n,pass_pct,fail_daily_pct,fail_max_pct,timeout_pct,days_to_pass_median,trades_mean,max_dd_mean,worst_day_mean,end_balance_mean,symbol,strategy,risk,pass_inconsistent_pct
2400,29.5,0.3,36.9,33.3,5.6,3.7,12.56,-3.97,98830.0,EURUSD,coin_2R,4.0,
2400,0.0,0.0,0.0,100.0,,5.0,2.86,-1.04,99658.0,EURUSD,coin_1R,1.0,
2400,0.0,0.0,3.5,96.5,,5.0,5.71,-2.09,99303.0,EURUSD,coin_1R,2.0,
2400,5.6,0.0,10.5,83.9,5.6,4.8,8.34,-3.09,98950.0,EURUSD,coin_1R,3.0,
2400,19.7,0.0,28.7,51.6,5.6,4.4,10.37,-4.0,98608.0,EURUSD,coin_1R,4.0,
2400,0.0,0.0,0.0,100.0,,1.7,1.3,-0.63,100021.0,EURUSD,ema_trend_h1,1.0,
2400,0.6,0.0,0.0,99.4,5.6,1.7,2.6,-1.27,100046.0,EURUSD,ema_trend_h1,2.0,
2400,1.5,0.7,0.0,97.8,5.6,1.7,3.89,-1.9,100052.0,EURUSD,ema_trend_h1,3.0,
2400,2.8,4.1,0.6,92.5,5.6,1.7,5.12,-2.5,99998.0,EURUSD,ema_trend_h1,4.0,
2400,0.0,0.0,0.0,100.0,,0.6,0.51,-0.25,100027.0,EURUSD,ema_trend_h4,1.0,
2400,0.1,0.0,0.0,99.9,5.6,0.6,1.01,-0.49,100054.0,EURUSD,ema_trend_h4,2.0,
2400,0.2,0.0,0.0,99.8,5.6,0.6,1.52,-0.74,100081.0,EURUSD,ema_trend_h4,3.0,
2400,0.7,0.0,0.1,99.2,5.6,0.6,2.03,-0.99,100109.0,EURUSD,ema_trend_h4,4.0,
2400,0.0,0.0,0.0,100.0,,5.0,3.85,-1.05,99716.0,GBPUSD,momentum_2R,1.0,
2400,5.2,0.0,12.4,82.3,5.6,4.9,7.65,-2.07,99425.0,GBPUSD,momentum_2R,2.0,
2400,20.6,0.0,26.3,53.0,5.6,4.4,10.48,-2.99,99106.0,GBPUSD,momentum_2R,3.0,
2400,29.0,0.1,36.7,34.2,5.6,3.7,12.67,-3.97,99036.0,GBPUSD,momentum_2R,4.0,
2400,0.0,0.0,0.0,100.0,,5.0,3.78,-1.05,99850.0,GBPUSD,meanrev_2R,1.0,
2400,6.7,0.2,10.7,82.5,5.6,4.9,7.52,-2.07,99675.0,GBPUSD,meanrev_2R,2.0,
2400,22.8,0.1,25.1,52.0,5.6,4.4,10.35,-2.98,99327.0,GBPUSD,meanrev_2R,3.0,
2400,29.7,0.1,36.4,33.8,5.6,3.7,12.53,-3.94,99056.0,GBPUSD,meanrev_2R,4.0,
