sym,mult,step,lv,sl,tp,final_equity,net,usd_per_hour,usd_per_hour_first_year,max_dd_usd,max_dd_pct,min_equity,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,max_lots,max_positions,worst_basket,yearly,ruin
EURUSD,1.5,40,3,60,6,0.0,-1000.0,-0.0223,-0.0439,1017.23,100.0,0.0,2015-03-11 11:00:00,1,3374,46,3327,0.06,3,-77.85,"{'2012': -37.39, '2013': -403.61, '2014': -247.35, '2015': -311.66, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,3,60,10,0.0,-1000.0,-0.0223,-0.0031,1071.78,100.0,0.0,2015-07-08 10:00:00,2,3256,68,3186,0.06,3,-95.55,"{'2012': 4.01, '2013': -49.87, '2014': -83.24, '2015': -870.91, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,3,60,15,733.63,-266.37,-0.0059,0.0254,921.93,61.8,570.1,,0,4705,125,4580,0.06,3,-106.15,"{'2012': 37.55, '2013': 201.66, '2014': 139.48, '2015': -648.92, '2016': -15.23, '2017': 19.1}",False
EURUSD,1.5,40,3,100,6,0.0,-1000.0,-0.0223,-0.0429,1017.23,100.0,0.0,2015-03-11 19:00:00,2,2871,25,2844,0.06,3,-118.58,"{'2012': -13.45, '2013': -408.73, '2014': -208.2, '2015': -369.62, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,3,100,10,0.0,-1000.0,-0.0223,-0.0139,1023.27,100.0,0.0,2015-08-24 16:00:00,1,2849,37,2811,0.06,3,-153.17,"{'2012': -33.4, '2013': -102.68, '2014': -64.32, '2015': -799.6, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,3,100,15,905.99,-94.01,-0.0021,0.005,573.48,48.8,602.53,,0,3655,59,3596,0.06,3,-153.17,"{'2012': -15.75, '2013': 77.07, '2014': 83.85, '2015': -381.47, '2016': 67.73, '2017': 74.57}",False
EURUSD,1.5,40,3,150,6,0.0,-1000.0,-0.0223,-0.0559,1017.23,100.0,0.0,2015-03-11 10:00:00,2,2150,14,2134,0.06,3,-157.8,"{'2012': -54.07, '2013': -442.88, '2014': -220.0, '2015': -283.05, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,3,150,10,0.0,-1000.0,-0.0223,-0.0262,1023.27,100.0,0.0,2015-07-27 10:00:00,1,2039,20,2018,0.06,3,-157.8,"{'2012': -7.56, '2013': -209.72, '2014': -88.24, '2015': -694.48, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,3,150,15,794.03,-205.97,-0.0046,-0.0093,537.56,51.7,502.95,,0,2578,29,2549,0.06,3,-159.11,"{'2012': 4.67, '2013': -53.4, '2014': -12.38, '2015': -238.3, '2016': 98.09, '2017': -4.65}",False
EURUSD,1.5,40,3,200,6,0.0,-1000.0,-0.0223,-0.0189,1017.23,100.0,0.0,2015-08-27 15:00:00,2,2062,10,2050,0.06,3,-213.79,"{'2012': -39.99, '2013': -132.61, '2014': -232.14, '2015': -595.26, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,3,200,10,311.7,-688.3,-0.0153,0.0053,813.12,73.4,294.35,,0,2812,17,2795,0.06,3,-213.79,"{'2012': -6.74, '2013': 65.07, '2014': -136.23, '2015': -380.14, '2016': -190.51, '2017': -39.75}",False
EURUSD,1.5,40,3,200,15,861.5,-138.5,-0.0031,0.0166,492.39,39.5,754.29,,0,2093,17,2076,0.06,3,-237.02,"{'2012': 2.82, '2013': 175.84, '2014': 27.93, '2015': -296.15, '2016': -85.62, '2017': 36.68}",False
EURUSD,1.5,40,4,60,6,0.0,-1000.0,-0.0223,-0.0741,1017.23,100.0,0.0,2015-01-23 11:00:00,0,3522,45,3477,0.08,4,-125.75,"{'2012': -184.48, '2013': -501.46, '2014': -136.07, '2015': -177.99, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,4,60,10,0.0,-1000.0,-0.0223,-0.0365,1023.27,100.0,0.0,2015-03-24 10:00:00,1,3098,62,3035,0.08,4,-125.75,"{'2012': -121.67, '2013': -254.29, '2014': -50.02, '2015': -574.02, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,4,60,15,0.0,-1000.0,-0.0223,-0.0057,1149.74,100.0,0.0,2015-08-24 16:00:00,1,3190,93,3096,0.08,4,-125.75,"{'2012': -103.55, '2013': 47.03, '2014': 44.83, '2015': -988.31, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,4,100,6,0.0,-1000.0,-0.0223,-0.0861,1017.23,100.0,0.0,2014-11-03 01:00:00,1,2771,23,2747,0.1,4,-165.19,"{'2012': -89.81, '2013': -601.47, '2014': -308.72, '2015': 0.0, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,4,100,10,0.0,-1000.0,-0.0223,-0.0704,1023.27,100.0,0.0,2015-03-11 12:00:00,2,2722,36,2684,0.1,4,-165.19,"{'2012': -36.16, '2013': -584.39, '2014': -29.26, '2015': -350.2, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,4,100,15,0.0,-1000.0,-0.0223,-0.0317,1030.97,100.0,0.0,2015-05-19 11:00:00,0,2416,47,2369,0.1,4,-167.65,"{'2012': -21.87, '2013': -214.21, '2014': -83.53, '2015': -680.38, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,4,150,6,0.0,-1000.0,-0.0223,-0.0895,1017.23,100.0,0.0,2014-10-15 15:00:00,1,2367,14,2352,0.1,4,-177.68,"{'2012': -66.21, '2013': -654.49, '2014': -279.3, '2015': 0.0, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,4,150,10,0.0,-1000.0,-0.0223,-0.0695,1023.27,100.0,0.0,2015-02-05 01:00:00,2,2119,20,2097,0.1,4,-216.98,"{'2012': -128.68, '2013': -532.55, '2014': -33.11, '2015': -305.67, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,4,150,15,0.0,-1000.0,-0.0223,-0.0512,1030.97,100.0,0.0,2015-03-19 09:00:00,2,1768,25,1741,0.1,4,-233.38,"{'2012': -120.34, '2013': -337.91, '2014': 3.52, '2015': -545.27, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,4,200,6,0.0,-1000.0,-0.0223,-0.1142,1017.23,100.0,0.0,2013-10-22 16:00:00,2,1264,8,1254,0.1,4,-221.92,"{'2012': -108.75, '2013': -891.25, '2014': 0.0, '2015': 0.0, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,4,200,10,0.0,-1000.0,-0.0223,-0.0815,1023.27,100.0,0.0,2015-01-27 17:00:00,1,1918,14,1903,0.1,4,-271.45,"{'2012': -58.29, '2013': -684.1, '2014': 150.31, '2015': -407.93, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,4,200,15,0.0,-1000.0,-0.0223,-0.0544,1030.97,100.0,0.0,2015-03-19 09:00:00,2,1615,18,1595,0.1,4,-233.38,"{'2012': -49.35, '2013': -417.18, '2014': 188.05, '2015': -721.51, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,6,60,6,0.0,-1000.0,-0.0223,-0.0675,1017.23,100.0,0.0,2015-01-27 10:00:00,1,3597,46,3550,0.1,5,-100.41,"{'2012': -180.29, '2013': -448.25, '2014': -183.2, '2015': -188.26, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,6,60,10,0.0,-1000.0,-0.0223,-0.03,1023.27,100.0,0.0,2015-03-27 09:00:00,1,3172,64,3107,0.1,5,-112.44,"{'2012': -117.5, '2013': -203.41, '2014': -102.51, '2015': -576.58, '2016': 0.0, '2017': 0.0}",True
EURUSD,1.5,40,6,60,15,204.22,-795.78,-0.0177,0.0006,1201.22,97.9,26.11,,0,5626,152,5474,0.1,5,-157.06,"{'2012': -103.38, '2013': 98.96, '2014': 97.02, '2015': -881.04, '2016': -90.13, '2017': 82.8}",False
