bb_dev,rsi_low,atr_mult,max_bars,confirm,session_filter,net,usd_h,dd,pf,trades,wr,avg,sharpe,pf_num
3.0,30,1.5,32,0,0,-167.5,-0.0128,240.01,0.751,145,33.8,-1.16,-1.17,0.751
3.0,30,1.5,32,0,1,-129.3,-0.0098,185.75,0.703,90,33.3,-1.44,-1.11,0.703
3.0,30,1.5,32,1,0,-241.41,-0.0184,278.84,0.597,126,39.7,-1.92,-1.85,0.597
3.0,30,1.5,32,1,1,-122.39,-0.0093,159.83,0.666,77,40.3,-1.59,-1.27,0.666
3.0,30,2.5,8,0,0,-171.55,-0.0131,222.14,0.729,135,43.7,-1.27,-1.11,0.729
3.0,30,2.5,8,0,1,-117.28,-0.0089,173.9,0.702,83,45.8,-1.41,-1.01,0.702
3.0,30,2.5,8,1,0,-255.02,-0.0194,292.45,0.539,126,41.3,-2.02,-2.13,0.539
3.0,30,2.5,8,1,1,-123.87,-0.0094,161.3,0.622,77,44.2,-1.61,-1.35,0.622
3.0,30,2.5,32,0,0,-220.34,-0.0168,261.39,0.698,135,44.4,-1.63,-1.34,0.698
3.0,30,2.5,32,0,1,-170.68,-0.013,210.79,0.637,83,43.4,-2.06,-1.38,0.637
3.0,30,2.5,32,1,0,-298.76,-0.0228,336.19,0.535,126,49.2,-2.37,-2.31,0.535
3.0,30,2.5,32,1,1,-160.14,-0.0122,197.57,0.594,77,51.9,-2.08,-1.57,0.594
