Date,open,high,low,close,tick_volume
2012-11-16 00:00:00,127801.00000000001,127835.00000000001,127777.0,127810.0,869
2012-11-16 01:00:00,127809.0,127837.0,127686.00000000001,127736.0,1408
2012-11-16 02:00:00,127738.0,127769.0,127706.00000000001,127733.99999999999,1285
2012-11-16 03:00:00,127738.0,127762.0,127672.99999999999,127695.0,1210
2012-11-16 04:00:00,127694.0,127770.99999999999,127641.0,127724.0,1487
2012-11-16 05:00:00,127724.0,127736.0,127677.0,127702.0,1048
2012-11-16 06:00:00,127700.00000000001,127770.0,127674.0,127678.0,1301
2012-11-16 07:00:00,127680.0,127731.0,127558.0,127573.0,1821
2012-11-16 08:00:00,127573.99999999999,127627.0,127463.0,127562.0,3064
2012-11-16 09:00:00,127564.00000000001,127594.99999999999,127426.0,127499.0,3710
2012-11-16 10:00:00,127505.0,127509.0,127255.99999999999,127328.0,3633
2012-11-16 11:00:00,127327.00000000001,127408.00000000001,127236.0,127319.0,3382
2012-11-16 12:00:00,127319.0,127404.99999999999,127274.0,127358.0,2752
2012-11-16 13:00:00,127358.0,127454.0,127306.00000000001,127427.0,2913
2012-11-16 14:00:00,127424.99999999999,127528.0,127365.0,127367.00000000001,3478
2012-11-16 15:00:00,127367.99999999999,127458.99999999999,127275.99999999999,127305.0,3722
2012-11-16 16:00:00,127302.99999999999,127327.00000000001,126905.0,127048.0,5079
2012-11-16 17:00:00,127049.00000000001,127159.0,126938.0,127138.0,4383
2012-11-16 18:00:00,127139.99999999999,127298.0,127104.0,127221.0,3406
2012-11-16 19:00:00,127220.0,127360.0,127189.0,127291.0,2236
2012-11-16 20:00:00,127289.99999999999,127295.99999999999,127197.0,127266.00000000001,2203
2012-11-16 21:00:00,127268.0,127449.00000000001,127207.0,127363.99999999999,2184
2012-11-16 22:00:00,127362.0,127430.0,127356.0,127417.99999999999,1457
2012-11-19 00:00:00,127411.00000000001,127602.0,127396.0,127579.0,1772
2012-11-19 01:00:00,127578.00000000001,127596.0,127454.0,127504.0,2098
2012-11-19 02:00:00,127504.0,127621.0,127478.99999999999,127533.00000000001,1949
2012-11-19 03:00:00,127532.0,127726.0,127521.0,127679.00000000001,1897
2012-11-19 04:00:00,127685.0,127708.0,127624.0,127645.00000000001,1003
2012-11-19 05:00:00,127644.0,127651.0,127570.0,127590.0,1092
2012-11-19 06:00:00,127591.00000000001,127628.00000000001,127564.00000000001,127578.00000000001,1427
2012-11-19 07:00:00,127578.00000000001,127689.00000000001,127565.0,127658.0,1437
2012-11-19 08:00:00,127654.0,127733.00000000001,127611.99999999999,127620.0,2661
2012-11-19 09:00:00,127620.0,127867.0,127517.00000000001,127821.0,3949
2012-11-19 10:00:00,127826.0,127836.0,127655.99999999999,127743.0,3219
2012-11-19 11:00:00,127742.0,127783.0,127624.0,127686.00000000001,2841
2012-11-19 12:00:00,127682.99999999999,127779.0,127654.0,127720.00000000001,2734
2012-11-19 13:00:00,127720.00000000001,127729.0,127600.0,127630.0,2421
2012-11-19 14:00:00,127628.99999999999,127719.0,127585.0,127699.0,3171
2012-11-19 15:00:00,127700.00000000001,127887.0,127697.0,127851.0,3831
2012-11-19 16:00:00,127849.00000000001,128188.00000000001,127776.0,128143.0,4787
2012-11-19 17:00:00,128145.0,128176.0,128037.0,128048.99999999999,3138
2012-11-19 18:00:00,128048.0,128104.0,127986.0,128017.0,1910
2012-11-19 19:00:00,128016.0,128079.00000000001,128005.00000000001,128037.0,1425
2012-11-19 20:00:00,128036.0,128101.0,128006.0,128071.0,1588
2012-11-19 21:00:00,128072.00000000001,128102.99999999999,127996.0,128093.00000000001,1660
2012-11-19 22:00:00,128094.0,128163.99999999999,128088.0,128128.0,1377
2012-11-19 23:00:00,128127.00000000001,128146.0,127665.0,127808.00000000001,2906
2012-11-20 00:00:00,127806.0,127883.00000000001,127646.0,127659.00000000001,1914
2012-11-20 01:00:00,127659.00000000001,127836.0,127647.0,127807.0,1813
2012-11-20 02:00:00,127807.0,127905.0,127785.0,127831.0,1682
2012-11-20 03:00:00,127831.0,127892.0,127826.0,127877.0,1042
2012-11-20 04:00:00,127874.0,128104.0,127848.0,128027.99999999999,2046
