final_equity,net,usd_per_hour,usd_per_hour_first_year,max_dd_usd,max_dd_pct,min_equity,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,max_lots,max_positions,worst_basket,trend_filter,step_pips,max_levels,basket_sl_usd,tp_pips,base_lot,sym,ok
0.0,-1000.0,-0.0223,-0.0804,1003.95,100.0,0.0,2014-10-03 19:00:00,4,1745,32,1709,0.06,3,-93.44,50,60,3,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.038,1003.95,100.0,0.0,2016-03-24 20:00:00,3,2631,23,2605,0.06,3,-167.28,50,60,3,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0472,1003.95,100.0,0.0,2016-06-24 04:00:00,2,2033,11,2020,0.06,3,-274.38,50,60,3,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1004.57,100.0,0.0,2013-11-05 10:00:00,1,1122,24,1097,0.07,5,-106.85,50,60,5,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0533,1004.57,100.0,0.0,2015-03-18 22:00:00,1,2211,20,2190,0.09,5,-196.62,50,60,5,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1004.57,100.0,0.0,2013-09-16 16:00:00,6,736,6,724,0.1,5,-270.78,50,60,5,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1004.57,100.0,0.0,2013-11-05 10:00:00,1,1122,24,1097,0.07,5,-106.85,50,60,8,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0517,1004.57,100.0,0.0,2015-03-19 06:00:00,3,2234,20,2211,0.1,7,-189.39,50,60,8,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1047.93,100.0,0.0,2013-07-05 14:00:00,2,634,6,626,0.12,8,-273.65,50,60,8,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0583,1008.71,100.0,0.0,2014-11-17 04:00:00,2,2071,41,2028,0.06,3,-107.87,100,15,3,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0495,1008.71,100.0,0.0,2015-03-18 22:00:00,1,1871,20,1850,0.06,3,-185.62,100,15,3,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0339,1025.51,100.0,0.0,2016-05-04 14:00:00,2,1994,13,1979,0.06,3,-259.31,100,15,3,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0937,1008.61,100.0,0.0,2013-12-31 03:00:00,9,1613,34,1570,0.1,5,-111.82,100,15,5,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0664,1008.61,100.0,0.0,2014-09-10 20:00:00,1,2042,23,2018,0.1,5,-194.17,100,15,5,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1008.61,100.0,0.0,2013-09-18 20:00:00,0,1014,9,1005,0.1,5,-295.48,100,15,5,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1046,1009.99,100.0,0.0,2014-01-02 13:00:00,5,1690,34,1651,0.13,8,-136.17,100,15,8,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1009.99,100.0,0.0,2013-07-11 00:00:00,0,959,14,945,0.14,8,-211.01,100,15,8,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0762,1009.99,100.0,0.0,2014-09-08 02:00:00,3,2133,15,2115,0.16,8,-303.19,100,15,8,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.043,1024.61,100.0,0.0,2015-04-30 18:00:00,3,2564,45,2516,0.06,3,-118.75,100,25,3,80,10,0.01,GBPUSD,False
