dt,EURUSD,GBPUSD,COMBINADO
2014-02-19,1002.3600000000023,732.6250000000451,734.9850000000474
2014-02-20,1006.6950000000024,734.9000000000466,741.5950000000489
2014-02-21,1007.9200000000025,733.840000000047,741.7600000000493
2014-02-22,,,
2014-02-23,,,
2014-02-24,1009.9700000000025,746.5900000000469,756.5600000000495
2014-02-25,1007.6300000000023,746.4100000000468,754.0400000000491
2014-02-26,1019.9850000000025,746.2300000000467,766.2150000000493
2014-02-27,1017.3450000000025,746.0500000000467,763.3950000000491
2014-02-28,999.7500000000025,745.8700000000466,745.620000000049
2014-03-01,,,
2014-03-02,,,
2014-03-03,1012.6550000000026,745.6900000000466,758.3450000000491
2014-03-04,1012.1650000000028,745.5100000000465,757.6750000000493
2014-03-05,1012.3550000000029,745.3300000000464,757.6850000000493
2014-03-06,993.4300000000023,745.1500000000464,738.5800000000486
2014-03-07,992.5000000000022,744.9700000000463,737.4700000000485
2014-03-08,,,
2014-03-09,,,
2014-03-10,991.9200000000019,744.7900000000462,736.7100000000482
2014-03-11,997.175000000002,746.4700000000462,743.6450000000482
2014-03-12,994.350000000002,746.8750000000468,741.2250000000488
2014-03-13,1002.9050000000015,750.8500000000466,753.7550000000481
2014-03-14,1000.4200000000012,762.695000000046,763.1150000000471
2014-03-15,,,
2014-03-16,,,
2014-03-17,999.5500000000012,762.9400000000461,762.4900000000473
2014-03-18,998.3900000000011,763.4850000000454,761.8750000000464
2014-03-19,1019.2050000000013,747.2650000000464,766.4700000000475
2014-03-20,1024.8900000000015,752.0550000000451,776.9450000000465
2014-03-21,1024.7100000000016,754.1250000000451,778.8350000000469
2014-03-22,,,
2014-03-23,,,
2014-03-24,1028.0600000000024,753.6400000000464,781.7000000000489
2014-03-25,1031.6950000000022,761.3150000000461,793.0100000000484
2014-03-26,1035.7450000000022,762.0000000000462,797.7450000000483
2014-03-27,1039.7800000000025,754.3450000000458,794.1250000000482
2014-03-28,1039.6000000000026,752.5000000000466,792.1000000000492
2014-03-29,,,
2014-03-30,,,
2014-03-31,1039.4200000000028,748.200000000047,787.6200000000499
2014-04-01,1039.240000000003,753.0850000000466,792.3250000000496
2014-04-02,1039.0600000000031,753.5250000000468,792.5850000000501
2014-04-03,1038.8800000000033,755.1300000000468,794.0100000000502
2014-04-04,1038.7000000000035,754.9500000000468,793.6500000000501
2014-04-05,,,
2014-04-06,,,
2014-04-07,1038.5200000000036,754.7700000000467,793.2900000000504
2014-04-08,1038.3400000000038,735.100000000048,773.4400000000519
2014-04-09,1032.8300000000036,723.745000000047,756.5750000000505
2014-04-10,1027.2600000000032,725.9250000000465,753.1850000000495
2014-04-11,1028.3700000000033,710.9000000000468,739.27000000005
2014-04-12,,,
2014-04-13,,,
2014-04-14,1041.1850000000031,711.8750000000463,753.0600000000495
2014-04-15,1041.5150000000035,716.6550000000473,758.1700000000508
2014-04-16,1041.0950000000034,724.4400000000488,765.5350000000522
2014-04-17,1041.2350000000035,725.1450000000486,766.3800000000522
2014-04-18,1041.7150000000038,725.9700000000491,767.6850000000529
2014-04-19,,,
2014-04-20,,,
2014-04-21,1042.805000000004,725.7900000000491,768.595000000053
