dt,EURUSD,GBPUSD,COMBINADO
2012-11-16,1005.8250000000002,1004.6850000000009,1010.5100000000011
2012-11-17,,,
2012-11-18,,,
2012-11-19,1000.8850000000004,1005.240000000002,1006.1250000000025
2012-11-20,997.5350000000008,1003.5300000000013,1001.0650000000021
2012-11-21,1003.6600000000009,1001.1200000000014,1004.7800000000022
2012-11-22,992.7900000000004,1007.4250000000012,1000.2150000000015
2012-11-23,976.5999999999995,991.8600000000005,968.46
2012-11-24,,,
2012-11-25,,,
2012-11-26,972.3799999999998,992.805,965.1849999999997
2012-11-27,985.9349999999995,999.4050000000001,985.3399999999997
2012-11-28,984.5149999999995,1002.33,986.8449999999996
2012-11-29,984.9899999999993,1001.7700000000009,986.7600000000002
2012-11-30,985.589999999999,1008.9950000000007,994.5849999999996
2012-12-01,,,
2012-12-02,,,
2012-12-03,974.6899999999982,999.6000000000001,974.2899999999984
2012-12-04,969.7899999999981,999.9399999999998,969.729999999998
2012-12-05,976.759999999998,1001.0849999999999,977.844999999998
2012-12-06,990.3999999999979,1003.5200000000001,993.919999999998
2012-12-07,990.2199999999981,1003.3400000000003,993.5599999999984
2012-12-08,,,
2012-12-09,,,
2012-12-10,990.0399999999983,1003.1600000000004,993.1999999999987
2012-12-11,989.8599999999984,1003.1000000000013,992.9599999999996
2012-12-12,985.719999999998,997.0600000000001,982.7799999999979
2012-12-13,984.6599999999981,991.35,976.0099999999982
2012-12-14,968.6199999999975,995.4900000000022,964.1099999999997
2012-12-15,,,
2012-12-16,,,
2012-12-17,969.0799999999974,992.9000000000012,961.9799999999987
2012-12-18,957.6799999999972,984.8900000000014,942.5699999999986
2012-12-19,964.7449999999959,984.465000000002,949.2099999999978
2012-12-20,966.6949999999958,987.4150000000018,954.1099999999976
2012-12-21,972.414999999996,991.6700000000018,964.0849999999978
2012-12-22,,,
2012-12-23,,,
2012-12-24,972.2349999999961,995.8200000000013,968.0549999999976
2012-12-25,,,
2012-12-26,968.7549999999962,1000.1100000000016,968.864999999998
2012-12-27,973.8949999999966,998.6050000000012,972.4999999999977
2012-12-28,975.7049999999967,1001.5500000000013,977.2549999999981
2012-12-29,,,
2012-12-30,,,
2012-12-31,977.3749999999969,1001.3700000000015,978.7449999999985
2013-01-01,976.3349999999971,1001.1900000000016,977.5249999999987
2013-01-02,986.8749999999965,950.670000000002,937.5449999999985
2013-01-03,992.8099999999966,921.510000000002,914.3199999999988
2013-01-04,992.6299999999968,914.1500000000015,906.7799999999984
2013-01-05,,,
2013-01-06,,,
2013-01-07,992.449999999997,902.7800000000017,895.2299999999987
2013-01-08,992.2699999999971,920.3800000000009,912.649999999998
2013-01-09,992.0899999999973,919.0900000000022,911.1799999999994
2013-01-10,982.0799999999974,917.6700000000021,899.7499999999995
2013-01-11,967.409999999997,933.3350000000024,900.7449999999994
2013-01-12,,,
2013-01-13,,,
2013-01-14,962.1799999999964,942.3600000000021,904.5399999999986
2013-01-15,975.4549999999965,942.180000000002,917.6349999999984
2013-01-16,978.9699999999966,941.8450000000023,920.8149999999989
2013-01-17,978.6699999999965,944.5050000000031,923.1749999999997
2013-01-18,989.9949999999965,924.0400000000033,914.0349999999999
2013-01-19,,,
2013-01-20,,,
2013-01-21,990.2649999999965,920.0350000000044,910.3000000000009
2013-01-22,998.1349999999962,931.5650000000041,929.7000000000003
2013-01-23,1005.1599999999962,935.8850000000056,941.0450000000019
2013-01-24,995.1399999999954,927.7100000000063,922.8500000000017
2013-01-25,983.6599999999945,934.865000000006,918.5250000000005
2013-01-26,,,
2013-01-27,,,
2013-01-28,987.1799999999944,922.3900000000067,909.5700000000011
2013-01-29,979.5799999999945,929.1200000000068,908.7000000000012
2013-01-30,968.1699999999936,928.9400000000068,897.1100000000004
2013-01-31,965.7199999999935,930.5000000000068,896.2200000000003
2013-02-01,965.0149999999938,944.7300000000073,909.7450000000013
2013-02-02,,,
2013-02-03,,,
2013-02-04,933.1849999999939,955.3700000000075,888.5550000000014
2013-02-05,956.7949999999939,946.610000000008,903.405000000002
2013-02-06,937.4749999999938,948.015000000008,885.4900000000016
2013-02-07,901.7799999999936,953.6400000000077,855.4200000000014
2013-02-08,898.3599999999942,962.0050000000076,860.3650000000018
2013-02-09,,,
2013-02-10,,,
2013-02-11,906.279999999994,965.0600000000072,871.340000000001
2013-02-12,914.434999999994,960.6300000000077,875.0650000000019
2013-02-13,913.944999999994,947.1950000000072,861.1400000000012
2013-02-14,901.3999999999947,956.0650000000071,857.465000000002
2013-02-15,907.5699999999949,959.1800000000071,866.750000000002
2013-02-16,,,
2013-02-17,,,
2013-02-18,906.0499999999951,973.2450000000078,879.2950000000028
2013-02-19,912.584999999995,971.0200000000071,883.6050000000023
2013-02-20,895.599999999995,915.4950000000073,811.0950000000023
2013-02-21,881.3199999999957,902.355000000008,783.6750000000038
2013-02-22,882.5699999999955,907.7300000000075,790.3000000000029
2013-02-23,,,
2013-02-24,,,
2013-02-25,861.4099999999944,901.7200000000083,763.1300000000028
2013-02-26,875.7999999999937,902.4000000000079,778.2000000000016
2013-02-27,888.7949999999939,905.0400000000078,793.8350000000019
2013-02-28,883.6399999999937,904.8600000000077,788.5000000000014
2013-03-01,877.0599999999928,878.9700000000076,756.0300000000004
2013-03-02,,,
2013-03-03,,,
2013-03-04,878.1599999999929,869.840000000008,748.0000000000009
2013-03-05,884.1149999999927,868.0600000000082,752.1750000000011
2013-03-06,875.7399999999927,859.5900000000076,735.3300000000004
2013-03-07,893.7999999999928,868.3750000000082,762.1750000000011
2013-03-08,891.5999999999921,849.7100000000084,741.3100000000004
2013-03-09,,,
2013-03-10,,,
2013-03-11,897.9849999999923,843.2300000000087,741.215000000001
2013-03-12,897.1649999999925,847.3450000000087,744.5100000000011
2013-03-13,885.9199999999918,843.1050000000089,729.0250000000005
2013-03-14,899.4149999999916,807.9500000000094,707.3650000000009
2013-03-15,907.6399999999917,796.0950000000103,703.735000000002
2013-03-16,,,
2013-03-17,,,
2013-03-18,891.8749999999911,800.7300000000091,692.6050000000002
2013-03-19,876.3999999999908,815.9850000000102,692.3850000000011
2013-03-20,891.6849999999909,822.0200000000107,713.7050000000015
2013-03-21,888.0349999999912,832.445000000011,720.4800000000023
2013-03-22,896.7549999999912,825.6000000000109,722.3550000000023
2013-03-23,,,
2013-03-24,,,
2013-03-25,888.9799999999898,835.7000000000113,724.6800000000012
2013-03-26,893.4099999999894,835.5200000000112,728.9300000000007
2013-03-27,880.8549999999893,838.7200000000112,719.5750000000005
2013-03-28,878.5899999999893,845.1600000000113,723.7500000000007
2013-03-29,878.4499999999894,844.9800000000113,723.4300000000007
2013-03-30,,,
2013-03-31,,,
2013-04-01,881.4599999999896,846.7700000000114,728.2300000000009
2013-04-02,885.6399999999899,855.8100000000106,741.4500000000005
2013-04-03,885.6549999999897,860.170000000011,745.8250000000007
2013-04-04,869.5199999999903,859.5800000000099,729.1000000000004
2013-04-05,857.0299999999904,826.0100000000118,683.0400000000022
2013-04-06,,,
2013-04-07,,,
2013-04-08,851.5299999999902,808.9200000000126,660.4500000000028
2013-04-09,839.5599999999909,825.1700000000109,664.7300000000018
2013-04-10,845.0199999999909,823.4900000000117,668.5100000000025
2013-04-11,838.6899999999907,816.2700000000115,654.9600000000023
2013-04-12,844.3099999999903,822.8850000000114,667.1950000000015
2013-04-13,,,
2013-04-14,,,
2013-04-15,856.9349999999906,829.8000000000108,686.7350000000015
2013-04-16,836.4799999999907,840.6500000000113,677.1300000000019
2013-04-17,855.429999999991,836.9600000000107,692.3900000000017
2013-04-18,855.2499999999909,844.190000000011,699.4400000000019
2013-04-19,855.0699999999908,841.6500000000111,696.7200000000021
2013-04-20,,,
2013-04-21,,,
2013-04-22,854.8899999999908,851.5900000000112,706.4800000000018
2013-04-23,854.7099999999907,859.0700000000114,713.780000000002
2013-04-24,854.5299999999907,864.9950000000113,719.5250000000019
2013-04-25,854.3499999999906,855.1150000000126,709.4650000000033
2013-04-26,854.1699999999905,856.3100000000123,710.4800000000027
2013-04-27,,,
2013-04-28,,,
2013-04-29,853.9899999999905,839.6600000000129,693.6500000000033
2013-04-30,847.429999999991,845.4600000000127,692.8900000000035
2013-05-01,844.3599999999911,857.5200000000132,701.8800000000042
2013-05-02,875.1149999999917,860.905000000013,736.0200000000048
2013-05-03,878.4999999999918,871.1050000000133,749.605000000005
2013-05-04,,,
2013-05-05,,,
