dt,EURUSD,GBPUSD,COMBINADO
2018-01-02,1000.4650000000005,992.1600000000002,992.6250000000007
2018-01-03,1004.0100000000007,1001.7200000000008,1005.7300000000014
2018-01-04,1013.7350000000008,1007.8650000000006,1021.6000000000013
2018-01-05,1017.5450000000011,1009.1400000000007,1026.6850000000018
2018-01-06,,,
2018-01-07,,,
2018-01-08,1013.4150000000008,1018.5300000000003,1031.945000000001
2018-01-09,1010.5600000000004,1030.8499999999995,1041.4099999999999
2018-01-10,1019.0400000000006,1028.904999999999,1047.9449999999997
2018-01-11,1037.8050000000005,1038.0749999999987,1075.8799999999992
2018-01-12,1017.1499999999992,1013.6699999999968,1030.819999999996
2018-01-13,,,
2018-01-14,,,
2018-01-15,1007.4299999999982,997.234999999997,1004.6649999999952
2018-01-16,1014.4499999999979,1004.3849999999973,1018.834999999995
2018-01-17,1023.4649999999978,992.6499999999977,1016.1149999999955
2018-01-18,1023.1799999999978,998.4899999999973,1021.6699999999951
2018-01-19,1033.344999999998,1001.0899999999968,1034.434999999995
2018-01-20,,,
2018-01-21,,,
2018-01-22,1029.284999999998,993.2999999999959,1022.5849999999939
2018-01-23,1024.539999999998,998.1049999999955,1022.6449999999934
2018-01-24,1010.0799999999969,997.174999999995,1007.2549999999919
2018-01-25,1016.7749999999955,977.7699999999959,994.5449999999914
2018-01-26,1017.069999999996,999.2499999999962,1016.3199999999922
2018-01-27,,,
2018-01-28,,,
2018-01-29,1025.209999999996,992.9649999999949,1018.1749999999909
2018-01-30,1032.859999999996,991.1199999999947,1023.9799999999907
2018-01-31,1032.2999999999959,990.9399999999948,1023.2399999999907
2018-02-01,1024.4999999999948,995.3799999999951,1019.8799999999899
2018-02-02,1041.8999999999949,1008.4299999999948,1050.32999999999
2018-02-03,,,
2018-02-04,,,
2018-02-05,1055.474999999995,1001.0099999999939,1056.4849999999888
2018-02-06,1057.859999999995,994.8849999999939,1052.744999999989
2018-02-07,1057.679999999995,1023.3349999999944,1081.0149999999894
2018-02-08,1057.4999999999952,1018.3899999999924,1075.8899999999876
2018-02-09,1057.3199999999954,1006.8549999999909,1064.1749999999865
2018-02-10,,,
2018-02-11,,,
2018-02-12,1057.1399999999956,1019.0499999999901,1076.1899999999855
2018-02-13,1056.9599999999957,1023.2499999999902,1080.209999999986
2018-02-14,1054.0099999999954,1060.39999999999,1114.4099999999853
2018-02-15,1042.739999999995,1048.5199999999884,1091.2599999999834
2018-02-16,1054.9999999999948,1052.7999999999881,1107.799999999983
2018-02-17,,,
2018-02-18,,,
2018-02-19,1054.819999999995,1052.6199999999883,1107.4399999999832
2018-02-20,1054.639999999995,1052.4399999999885,1107.0799999999836
2018-02-21,1054.4599999999953,1052.2599999999886,1106.7199999999839
2018-02-22,1054.2799999999954,1061.029999999988,1115.3099999999831
2018-02-23,1054.0999999999956,1060.849999999988,1114.9499999999834
2018-02-24,,,
2018-02-25,,,
2018-02-26,1053.9199999999958,1060.6699999999882,1114.5899999999838
2018-02-27,1053.739999999996,1067.0799999999879,1120.8199999999838
2018-02-28,1053.559999999996,1065.1049999999868,1118.6649999999827
2018-03-01,1053.3799999999962,1072.549999999986,1125.929999999982
2018-03-02,1053.1999999999964,1068.3449999999862,1121.5449999999828
2018-03-03,,,
2018-03-04,,,
2018-03-05,1053.0199999999966,1062.1399999999855,1115.1599999999821
2018-03-06,1052.8399999999967,1053.6649999999852,1106.504999999982
2018-03-07,1052.659999999997,1059.989999999985,1112.649999999982
2018-03-08,1052.479999999997,1068.629999999985,1121.1099999999824
2018-03-09,1052.2999999999972,1076.6399999999855,1128.9399999999828
2018-03-10,,,
2018-03-11,,,
2018-03-12,1052.1199999999974,1069.959999999985,1122.0799999999826
2018-03-13,1051.9399999999976,1059.4449999999842,1111.384999999982
2018-03-14,1051.7599999999977,1069.1049999999843,1120.864999999982
2018-03-15,1051.5799999999979,1080.8449999999837,1132.4249999999815
2018-03-16,1051.399999999998,1084.7999999999838,1136.1999999999816
2018-03-17,,,
2018-03-18,,,
2018-03-19,1051.2199999999982,1062.0399999999834,1113.2599999999816
2018-03-20,1051.0399999999984,1056.8499999999833,1107.8899999999817
2018-03-21,1050.8599999999985,1045.4199999999819,1096.2799999999806
2018-03-22,1050.6799999999987,1058.7799999999816,1109.45999999998
2018-03-23,1050.4999999999989,1063.739999999982,1114.2399999999807
2018-03-24,,,
2018-03-25,,,
2018-03-26,1050.319999999999,1048.709999999981,1099.0299999999797
2018-03-27,1050.1399999999992,1061.8599999999808,1111.99999999998
2018-03-28,1049.9599999999994,1061.679999999981,1111.6399999999803
2018-03-29,1049.7799999999995,1061.4999999999811,1111.2799999999806
2018-03-30,1049.5999999999997,1061.3199999999813,1110.919999999981
2018-03-31,,,
2018-04-01,,,
2018-04-02,1049.4199999999998,1061.1399999999815,1110.5599999999813
2018-04-03,1049.24,1060.9599999999816,1110.1999999999816
2018-04-04,1049.0600000000002,1060.7799999999818,1109.839999999982
2018-04-05,1048.8800000000003,1062.8399999999817,1111.719999999982
2018-04-06,1048.7000000000005,1072.5999999999817,1121.299999999982
2018-04-07,,,
2018-04-08,,,
2018-04-09,1048.5200000000007,1072.4199999999819,1120.9399999999823
2018-04-10,1048.3400000000008,1072.239999999982,1120.5799999999826
2018-04-11,1048.160000000001,1085.5999999999817,1133.759999999983
2018-04-12,1047.9800000000012,1080.7599999999811,1128.7399999999825
2018-04-13,1047.8000000000013,1079.2749999999803,1127.0749999999816
2018-04-14,,,
2018-04-15,,,
2018-04-16,1047.6200000000015,1072.9949999999803,1120.6149999999816
2018-04-17,1047.4400000000016,1065.9199999999796,1113.3599999999815
2018-04-18,1047.2600000000018,1047.554999999979,1094.8149999999805
2018-04-19,1047.080000000002,1024.679999999979,1071.7599999999811
2018-04-20,1046.9000000000021,1037.3349999999787,1084.2349999999806
2018-04-21,,,
2018-04-22,,,
2018-04-23,1046.7200000000023,1048.3849999999777,1095.10499999998
2018-04-24,1046.5400000000025,1044.4599999999775,1090.99999999998
2018-04-25,1046.3600000000026,1046.359999999977,1092.7199999999793
2018-04-26,1046.1800000000028,1068.2749999999767,1114.4549999999795
2018-04-27,1046.000000000003,1041.0249999999758,1087.0249999999787
2018-04-28,,,
2018-04-29,,,
2018-04-30,1045.8200000000031,1043.4749999999756,1089.2949999999787
2018-05-01,1044.890000000003,1030.189999999975,1075.079999999978
2018-05-02,1037.5900000000024,1045.3049999999744,1082.8949999999768
2018-05-03,1049.9100000000024,1047.829999999974,1097.7399999999761
