ema_len,dc_len,sl_mult,trail_mult,adx_min,allow_short,net,usd_h,dd,trades,pf,wr,breached
100,55,3.0,3.0,20.0,1,208.13,0.0159,226.55,192,1.159,38.0,False
100,55,3.0,3.0,25.0,0,80.02,0.0061,159.67,102,1.129,40.2,False
100,55,3.0,3.0,25.0,1,78.45,0.006,237.94,174,1.069,38.5,False
100,55,3.0,4.0,0.0,0,485.14,0.037,176.9,100,1.628,36.0,False
100,55,3.0,4.0,0.0,1,378.37,0.0288,280.07,178,1.266,33.7,False
100,55,3.0,4.0,20.0,0,484.72,0.0369,177.8,96,1.658,37.5,False
100,55,3.0,4.0,20.0,1,200.56,0.0153,300.2,90,1.274,30.0,True
100,55,3.0,4.0,25.0,0,538.42,0.041,210.62,88,1.895,38.6,False
100,55,3.0,4.0,25.0,1,225.61,0.0172,301.44,101,1.279,33.7,True
200,20,2.0,2.0,0.0,0,347.85,0.0265,300.51,209,1.269,36.8,True
200,20,2.0,2.0,0.0,1,298.73,0.0228,301.88,335,1.156,38.5,True
200,20,2.0,2.0,20.0,0,238.44,0.0182,285.55,195,1.197,35.9,False
200,20,2.0,2.0,20.0,1,55.61,0.0042,302.24,314,1.03,36.0,True
200,20,2.0,2.0,25.0,0,277.88,0.0212,198.38,164,1.269,37.8,False
200,20,2.0,2.0,25.0,1,-33.38,-0.0025,302.26,274,0.981,35.0,True
200,20,2.0,3.0,0.0,0,603.91,0.046,294.77,173,1.471,34.1,False
200,20,2.0,3.0,0.0,1,543.37,0.0414,300.62,288,1.255,32.3,True
200,20,2.0,3.0,20.0,0,385.91,0.0294,290.98,165,1.314,33.9,False
200,20,2.0,3.0,20.0,1,306.02,0.0233,310.85,263,1.158,31.2,True
200,20,2.0,3.0,25.0,0,270.78,0.0206,191.72,146,1.257,34.2,False
200,20,2.0,3.0,25.0,1,99.62,0.0076,300.34,244,1.054,31.1,True
200,20,2.0,4.0,0.0,0,649.76,0.0495,266.33,150,1.511,30.0,False
200,20,2.0,4.0,0.0,1,385.83,0.0294,300.39,247,1.185,26.7,True
200,20,2.0,4.0,20.0,0,527.28,0.0402,260.37,145,1.427,29.7,False
200,20,2.0,4.0,20.0,1,226.01,0.0172,307.65,124,1.208,21.8,True
200,20,2.0,4.0,25.0,0,557.4,0.0425,207.33,130,1.515,30.0,False
200,20,2.0,4.0,25.0,1,210.35,0.016,304.26,114,1.208,24.6,True
200,20,3.0,2.0,0.0,0,126.85,0.0097,269.53,202,1.117,39.1,False
200,20,3.0,2.0,0.0,1,27.05,0.0021,301.0,316,1.018,39.6,True
200,20,3.0,2.0,20.0,0,56.42,0.0043,271.51,189,1.055,37.6,False
200,20,3.0,2.0,20.0,1,-111.8,-0.0085,301.06,295,0.924,36.9,True
200,20,3.0,2.0,25.0,0,71.09,0.0054,212.87,161,1.08,38.5,False
200,20,3.0,2.0,25.0,1,-141.32,-0.0108,305.3,234,0.89,35.0,True
200,20,3.0,3.0,0.0,0,464.03,0.0353,262.11,157,1.444,39.5,False
200,20,3.0,3.0,0.0,1,533.41,0.0406,296.33,271,1.297,38.0,False
200,20,3.0,3.0,20.0,0,348.49,0.0265,253.09,147,1.359,40.8,False
200,20,3.0,3.0,20.0,1,264.18,0.0201,301.01,248,1.157,37.1,True
200,20,3.0,3.0,25.0,0,195.75,0.0149,184.82,134,1.222,39.6,False
200,20,3.0,3.0,25.0,1,200.52,0.0153,269.73,227,1.13,38.3,False
200,20,3.0,4.0,0.0,0,588.73,0.0448,274.38,133,1.542,36.1,False
200,20,3.0,4.0,0.0,1,369.29,0.0281,300.08,221,1.206,31.7,True
200,20,3.0,4.0,20.0,0,627.27,0.0478,275.28,125,1.623,37.6,False
200,20,3.0,4.0,20.0,1,359.75,0.0274,301.22,210,1.207,32.4,True
200,20,3.0,4.0,25.0,0,604.0,0.046,218.57,116,1.657,36.2,False
200,20,3.0,4.0,25.0,1,322.69,0.0246,305.1,193,1.197,32.6,True
200,55,2.0,2.0,0.0,0,164.17,0.0125,190.35,135,1.191,34.8,False
200,55,2.0,2.0,0.0,1,28.49,0.0022,271.8,239,1.019,33.1,False
200,55,2.0,2.0,20.0,0,167.76,0.0128,186.61,129,1.202,34.9,False
200,55,2.0,2.0,20.0,1,-153.79,-0.0117,300.58,229,0.895,31.9,True
200,55,2.0,2.0,25.0,0,220.95,0.0168,116.84,113,1.329,38.1,False
200,55,2.0,2.0,25.0,1,-48.98,-0.0037,266.8,199,0.962,32.7,False
200,55,2.0,3.0,0.0,0,256.2,0.0195,240.12,117,1.295,35.9,False
200,55,2.0,3.0,0.0,1,317.25,0.0242,248.2,205,1.206,34.1,False
200,55,2.0,3.0,20.0,0,202.3,0.0154,236.03,115,1.235,34.8,False
200,55,2.0,3.0,20.0,1,41.69,0.0032,303.68,180,1.031,31.7,True
200,55,2.0,3.0,25.0,0,94.15,0.0072,160.92,106,1.126,34.9,False
200,55,2.0,3.0,25.0,1,-5.36,-0.0004,289.43,180,0.996,32.8,False
200,55,2.0,4.0,0.0,0,358.04,0.0273,183.22,107,1.398,29.9,False
200,55,2.0,4.0,0.0,1,223.26,0.017,272.1,191,1.138,27.7,False
200,55,2.0,4.0,20.0,0,302.59,0.0231,208.55,106,1.335,29.2,False
200,55,2.0,4.0,20.0,1,39.09,0.003,300.3,93,1.046,21.5,True
200,55,2.0,4.0,25.0,0,268.59,0.0205,229.38,97,1.343,29.9,False
200,55,2.0,4.0,25.0,1,-38.11,-0.0029,301.66,130,0.964,25.4,True
200,55,3.0,2.0,0.0,0,11.67,0.0009,209.49,132,1.015,35.6,False
200,55,3.0,2.0,0.0,1,-169.71,-0.0129,300.08,208,0.855,34.1,True
200,55,3.0,2.0,20.0,0,9.07,0.0007,215.1,127,1.012,35.4,False
200,55,3.0,2.0,20.0,1,-189.9,-0.0145,302.3,197,0.83,33.0,True
200,55,3.0,2.0,25.0,0,84.54,0.0064,124.62,111,1.14,38.7,False
200,55,3.0,2.0,25.0,1,-182.94,-0.0139,304.28,169,0.82,33.1,True
200,55,3.0,3.0,0.0,0,164.34,0.0125,208.45,109,1.221,41.3,False
200,55,3.0,3.0,0.0,1,143.28,0.0109,270.54,190,1.107,38.9,False
200,55,3.0,3.0,20.0,0,169.75,0.0129,200.12,105,1.239,41.9,False
200,55,3.0,3.0,20.0,1,-3.32,-0.0003,300.57,181,0.997,38.1,True
200,55,3.0,3.0,25.0,0,88.73,0.0068,157.43,98,1.148,41.8,False
200,55,3.0,3.0,25.0,1,31.49,0.0024,267.47,167,1.028,38.9,False
200,55,3.0,4.0,0.0,0,469.75,0.0358,185.89,95,1.629,36.8,False
200,55,3.0,4.0,0.0,1,194.76,0.0148,302.51,120,1.209,33.3,True
200,55,3.0,4.0,20.0,0,470.74,0.0359,189.69,92,1.652,38.0,False
200,55,3.0,4.0,20.0,1,197.63,0.0151,300.55,92,1.264,30.4,True
200,55,3.0,4.0,25.0,0,541.68,0.0413,218.71,85,1.919,38.8,False
200,55,3.0,4.0,25.0,1,217.52,0.0166,303.74,96,1.276,33.3,True
