ema_len,dc_len,sl_mult,trail_mult,adx_min,allow_short,is_net,is_pf,oos_net,oos_pf,oos_dd,oos_trades
100,55,3.0,4.0,0.0,0,485.14,1.628,-272.68,0.665,302.07,77
100,55,3.0,4.0,0.0,1,378.37,1.266,-248.22,0.643,302.73,65
100,55,3.0,4.0,20.0,0,484.72,1.658,-245.47,0.692,304.95,81
100,55,3.0,4.0,20.0,1,200.56,1.274,-250.86,0.635,300.98,63
100,55,3.0,4.0,25.0,0,538.42,1.895,-222.69,0.697,300.13,73
100,55,3.0,4.0,25.0,1,225.61,1.279,-249.17,0.643,300.99,67
200,20,2.0,2.0,0.0,0,347.85,1.269,-251.77,0.655,300.61,138
200,20,2.0,2.0,0.0,1,298.73,1.156,-136.01,0.834,302.49,153
200,20,2.0,2.0,20.0,0,238.44,1.197,-241.83,0.71,301.17,164
200,20,2.0,2.0,20.0,1,55.61,1.03,273.83,1.147,251.81,362
200,20,2.0,2.0,25.0,0,277.88,1.269,-198.07,0.645,301.38,108
200,20,2.0,2.0,25.0,1,-33.38,0.981,195.25,1.13,275.95,305
200,20,2.0,3.0,0.0,0,603.91,1.471,-222.33,0.689,301.32,101
200,20,2.0,3.0,0.0,1,543.37,1.255,-178.64,0.734,300.85,95
200,20,2.0,3.0,20.0,0,385.91,1.314,-209.52,0.717,301.91,108
200,20,2.0,3.0,20.0,1,306.02,1.158,-162.01,0.784,300.77,114
200,20,2.0,3.0,25.0,0,270.78,1.257,-203.3,0.705,300.21,108
200,20,2.0,3.0,25.0,1,99.62,1.054,-157.59,0.732,301.41,87
200,20,2.0,4.0,0.0,0,649.76,1.511,-197.94,0.753,301.59,103
200,20,2.0,4.0,0.0,1,385.83,1.185,-140.05,0.784,301.24,82
200,20,2.0,4.0,20.0,0,527.28,1.427,-203.71,0.74,305.18,99
200,20,2.0,4.0,20.0,1,226.01,1.208,-142.47,0.776,301.34,79
200,20,2.0,4.0,25.0,0,557.4,1.515,-193.61,0.746,307.21,103
200,20,2.0,4.0,25.0,1,210.35,1.208,-154.49,0.766,300.59,89
200,20,3.0,2.0,0.0,0,126.85,1.117,64.64,1.069,286.1,197
